"authors","frequent_part_title","infrequent_part_title","title","uri","venue","year"
"richard r. muntz , leana golubchik , steven berson","","design servers multimedia tolerant fault","fault tolerant design of multimedia servers","dblp_a_2238","sigmod conference","1995"
"c. j. date","","tribute f codd personal memoir edgar","edgar f. codd : a tribute and personal memoir","dblp_a_2239","sigmod record","2003"
"meikel pöss , chris floyd","","commerce decision tpc new support benchmarks web","new tpc benchmarks for decision support and web commerce","dblp_a_2240","sigmod record","2000"
"ramaraju kalidindi , vijay kumar , rajgopal kannan , s. sitharama iyengar","based","wireless rate networks energy mac sensor protocol","energy and rate based mac protocol for wireless sensor networks","dblp_a_2241","sigmod record","2003"
"clement t. yu , weiyi meng , george philip","systems","query n processing top distributed uncooperative local possibly","distributed top-n query processing with possibly uncooperative local systems","dblp_a_2242","vldb","2003"
"jignesh m. patel , laurie hammel","","secondary structure searching protein sequences","searching on the secondary structure of protein sequences","dblp_a_2243","vldb","2002"
"karl aberer","","introduction editor guest","guest editor 's introduction","dblp_a_2244","sigmod record","2003"
"arvind nithrakashyap , rajendran m. sivasankaran , jayavel shanmugasundaram , krithi ramamritham","","control environments broadcast concurrency efficient","efficient concurrency control for broadcast environments","dblp_a_2245","sigmod conference","1999"
"ramakrishnan srikant , rakesh agrawal","","association mining generalized rules","mining generalized association rules","dblp_a_2246","vldb","1995"
"margaret h. dunham , abdelsalam helal","databases","anything computing mobile new","mobile computing and databases : anything new ?","dblp_a_2247","sigmod record","1995"
"leslie d. fife , le gruenwald","systems data database","hoc network ad issues communication research mobile","research issues for data communication in mobile ad-hoc network database systems","dblp_a_2248","sigmod record","2003"
"renée j. miller , yuping yang","data","association rules interval","association rules over interval data","dblp_a_2249","sigmod conference","1997"
"reinhard pichler , christoph koch , georg gottlob","","processing nutshell xpath","xpath processing in a nutshell","dblp_a_2250","sigmod record","2003"
"jun zhang , dimitris papadias , manli zhu , yufei tao , dik lun lee","based","location spatial queries","location-based spatial queries","dblp_a_2251","sigmod conference","2003"
"valérie issarny , patrick valduriez , khaled yagoub , daniela florescu","using data","sites customizing weave building web intensive","building and customizing data-intensive web sites using weave","dblp_a_2252","vldb","2000"
"luis gravano , nicolas bruno , surajit chaudhuri","","multidimensional workload aware histogram stholes","stholes : a multidimensional workload-aware histogram","dblp_a_2253","sigmod conference","2001"
"jeroen hoppenbrouwers , mike p. papazoglou","information","libraries contextualizing digital space federated","contextualizing the information space in federated digital libraries","dblp_a_2254","sigmod record","1999"
"rada chirkova , dan suciu , alon y. halevy","","view selection formal perspective problem","a formal perspective on the view selection problem","dblp_a_2255","vldb j.","2002"
"jim gray , betty salzberg , stefano ceri , andreas reuter , gerhard weikum","databases management","panel workflow","databases and workflow management : what is it all about ? ( panel )","dblp_a_2256","vldb","1995"
"leonard j. seligman","","perspectives industry","industry perspectives","dblp_a_2257","sigmod record","1997"
"laks v. s. lakshmanan , jian pei , jiawei han","data","cube semantics quotient summarize","quotient cube : how to summarize the semantics of a data cube","dblp_a_2258","vldb","2002"
"charu c. aggarwal , philip s. yu","","high clusters spaces finding generalized dimensional projected","finding generalized projected clusters in high dimensional spaces","dblp_a_2259","sigmod conference","2000"
"marianne winslett","","garcia speaks molina hector","hector garcia-molina speaks out","dblp_a_2260","sigmod record","2002"
"james j. lu , guido moerkotte , joachim schü , v. s. subrahmanian","","mediated maintenance materialized views efficient","efficient maintenance of materialized mediated views","dblp_a_2261","sigmod conference","1995"
"rainer gallersdörfer , matthias nicola","databases","replicated performance relaxed coherency improving","improving performance in replicated databases through relaxed coherency","dblp_a_2262","vldb","1995"
"nelson mendonça mattos","","constructs sql compilers supporting procedural","supporting procedural constructs in sql compilers","dblp_a_2263","vldb","1996"
"dave liles","","latency enterprise zero","the zero latency enterprise","dblp_a_2264","vldb","2000"
"jeanne vanbriesen , paul s. fischbeck , christos faloutsos , anastassia ailamaki , mitchell j. small","","water drinking network security sensor quality environmental determine","an environmental sensor network to determine drinking water quality and security","dblp_a_2265","sigmod record","2003"
"surajit chaudhuri , nicolas bruno , luis gravano","databases","evaluation selection queries relational strategies performance top k mapping","top-k selection queries over relational databases : mapping strategies and performance evaluation","dblp_a_2266","acm trans . database syst .","2002"
"z. meral özsoyoglu , tolga bozkaya","","queries indexing metric large search similarity spaces","indexing large metric spaces for similarity search queries","dblp_a_2267","acm trans . database syst .","1999"
"carlotta domeniconi , vassilis j. tsotras , george kollios , dimitrios gunopulos","","attributes multi real range approximating queries aggregate dimensional","approximating multi-dimensional aggregate range queries over real attributes","dblp_a_2268","sigmod conference","2000"
"anand deshpande","management data","value linking business deliver challenge","linking business to deliver value : a data management challenge","dblp_a_2269","vldb","2000"
"hans-peter kriegel , daniel a. keim","system databases","visdb visualizing large","visdb : a system for visualizing large databases","dblp_a_2270","sigmod conference","1995"
"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang","databases","spatial multi large approach resolution clustering wavecluster","wavecluster : a multi-resolution clustering approach for very large spatial databases","dblp_a_2271","vldb","1998"
"john r. smith","databases","standard multimedia mpeg","mpeg-7 standard for multimedia databases","dblp_a_2272","sigmod conference","2001"
"nick koudas , h. v. jagadish , divesh srivastava","","indexing multi strings dimensional effective","on effective multi-dimensional indexing for strings","dblp_a_2273","sigmod conference","2000"
"anand rajaraman","database","issues commerce experience e","e-commerce database issues and experience","dblp_a_2274","sigmod conference","1999"
"anandi herlekar , atul deopujari , shaymsunder gopale , shridhar shukla , krithi ramamritham","system","applications flexible directory entrans consistency maintenance","entrans : a system for flexible consistency maintenance in directory applications","dblp_a_2275","vldb","2002"
"samuel madden , wei hong , joseph m. hellerstein , michael j. franklin","","processor query networks acquisitional design sensor","the design of an acquisitional query processor for sensor networks","dblp_a_2276","sigmod conference","2003"
"gautam das , surajit chaudhuri , brian babcock","","selection query processing approximate sample dynamic","dynamic sample selection for approximate query processing","dblp_a_2277","sigmod conference","2003"
"mitch cherniack , stanley b. zdonik","based","rule transformations changing rules optimizers","changing the rules : transformations for rule-based optimizers","dblp_a_2278","sigmod conference","1998"
"joseph m. hellerstein , vijayshankar raman","system data","cleaning wheel interactive potter","potter 's wheel : an interactive data cleaning system","dblp_a_2279","vldb","2001"
"jens teubner , torsten grust , maurice van keulen","","staircase dbms axis relational join teach steps watch","staircase join : teach a relational dbms to watch its ( axis ) steps","dblp_a_2280","vldb","2003"
"sergey brin","","near metric neighbor large search spaces","near neighbor search in large metric spaces","dblp_a_2281","vldb","1995"
"chris jermaine","","robust estimation approximate sampling pre aggregation","robust estimation with sampling and approximate pre-aggregation","dblp_a_2282","vldb","2003"
"xiaolei qian","","nii bandwagon jumping","jumping on the nii bandwagon","dblp_a_2283","sigmod record","1994"
"henrique paques , ling liu , david buttler , calton pu","","method content web searching ominisearch dynamic","ominisearch : a method for searching dynamic content on the web","dblp_a_2284","sigmod conference","2001"
"times-ten team","","mid caching approach timesten tier","mid-tier caching : the timesten approach","dblp_a_2285","sigmod conference","2002"
"bettina kemme , gustavo alonso","database","consistent implement r replication n way new lazy postgres","do n't be lazy , be consistent : postgres-r , a new way to implement database replication","dblp_a_2286","vldb","2000"
"fèlix saltor , uwe hohenstein , ralf-detlef kutsche , wilhelm hasselbring , gunter saake , stefan conrad , mark roantree","information systems","efis workshop report federated engineering","engineering federated information systems : report of efis '99 workshop","dblp_a_2287","sigmod record","1999"
"michele melchiori , silvana castano , g. malvezzi , domenico beneventano , r. guidetti , alberto corni , sonia bergamaschi , maurizio vincini","information","integration momis demonstration project","information integration : the momis project demonstration","dblp_a_2288","vldb","2000"
"guido moerkotte , alfons kemper , carsten andreas gerlhof","","cost reorganization bases object clustering monitoring","on the cost of monitoring and reorganization of object bases for clustering","dblp_a_2289","sigmod record","1996"
"leonard loureiro , yi deng , carlos ordonez 0002 , mario sanchez , cyril u. orji , wei sun , artyom shaposhnikov , naphtali rishe , michael alexopoulos , david barton","database","high center performance research international university florida","florida international university high performance database research center","dblp_a_2290","sigmod record","1995"
"dimitri tombroff , eric simon , françois llirbat","using","application checking versions update integrity transactions","using versions in update transactions : application to integrity checking","dblp_a_2291","vldb","1997"
"jeffrey f. naughton , yihong zhao , prasad deshpande","based","multidimensional algorithm array aggregates simultaneous","an array-based algorithm for simultaneous multidimensional aggregates","dblp_a_2292","sigmod conference","1997"
"khoa doan , catherine plaisant , ben shneiderman , tom bruns","information data systems","query study previews case networked environmental nasa","query previews for networked information systems : a case study with nasa environmental data","dblp_a_2293","sigmod record","1997"
"shiby thomas , rakesh agrawal , sunita sarawagi","systems database","relational integrating mining implications alternatives","integrating mining with relational database systems : alternatives and implications","dblp_a_2294","sigmod conference","1998"
"john m. tyler , kosmas karadimitriou","databases","methods min image max compression medical","min-max compression methods for medical image databases","dblp_a_2295","sigmod record","1997"
"jeff sidell","system management database","mariposa distributed","the mariposa distributed database management system","dblp_a_2296","sigmod record","1996"
"bennet vance , richard swagerman , michael j. carey , srinivasa narayanan , nelson mendonça mattos , donald d. chamberlin , doug doole , serge rielau","","done","o-o , what have they done to db2 ?","dblp_a_2297","vldb","1999"
"shamkant b. navathe , kiran j. achyutuni , edward omiecinski","databases","nothing line parallel index two shared techniques modification","two techniques for on-line index modification in shared nothing parallel databases","dblp_a_2298","sigmod conference","1996"
"ramez elmasri , leonidas fegaras","data","engines xml query web accessible","query engines for web-accessible xml data","dblp_a_2299","vldb","2001"
"elizabeth hamel , serge bourbonnais , bruce g. lindsay , tuong c. truong , chengfei liu , jens stankiewitz","system database","files multiple recovery log partitioned global transactions capturing","capturing global transactions from multiple recovery log files in a partitioned database system","dblp_a_2300","vldb","2003"
"joachim hammer , youzhong liu , chunbo huang , yihua huang , herman lam , liu wang , haifei li , stanley y. w. su , charnyote pluempitiwiriyawej , minsoo lee","based","negotiation commerce server internet e","an internet-based negotiation server for e-commerce","dblp_a_2301","vldb j.","2001"
"mengchi liu , tok wang ling , gillian dobbie","databases","deductive foundation oriented logical object","a logical foundation for deductive object-oriented databases","dblp_a_2302","acm trans . database syst .","2002"
"hasan davulcu , michael kifer , i. v. ramakrishnan , juliana freire","","architecture querying content layered web dynamic","a layered architecture for querying dynamic web content","dblp_a_2303","sigmod conference","1999"
"ken smith , leo obrst","information systems","scale semantics reconciliation large semantic perform usage unpacking source","unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems","dblp_a_2304","sigmod record","1999"
"myra spiliopoulou , bettina berendt","information systems","multiple behaviour analysis sites navigation web integrating","analysis of navigation behaviour in web sites integrating multiple information systems","dblp_a_2305","vldb j.","2000"
"z. meral özsoyoglu","","chair vice message","vice chair 's message","dblp_a_2306","sigmod record","1999"
"yiu-kai ng , david w. embley , wai yin mok","","characterizing redundancy nested form normal precisely relations","a normal form for precisely characterizing redundancy in nested relations","dblp_a_2307","acm trans . database syst .","1996"
"kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi","using","processing approximate wavelets query","approximate query processing using wavelets","dblp_a_2308","vldb","2000"
"motomichi toyama , yoko maeda","using data","actiview adaptive presentation supersql","actiview : adaptive data presentation using supersql","dblp_a_2309","vldb","2001"
"alfons kemper , guido moerkotte , klaus peithner , michael steinbrunn","","joins bypassing queries disjunctive","bypassing joins in disjunctive queries","dblp_a_2310","vldb","1995"
"michael j. rothman , john p. nearhos , marisa s. viveros","system information data","health mining applying insurance techniques","applying data mining techniques to a health insurance information system","dblp_a_2311","vldb","1996"
"serge abiteboul","","xml views","on views and xml","dblp_a_2312","sigmod record","1999"
"ada wai-chee fu , man hon wong , chan man kuok","databases","fuzzy association mining rules","mining fuzzy association rules in databases","dblp_a_2313","sigmod record","1998"
"peter zabback , christof hasse , gerhard weikum , axel mönkeberg","information database","self engineering technology thinking viable wishful tuning services","self-tuning database technology and information services : from wishful thinking to viable engineering","dblp_a_2314","vldb","2002"
"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson","system database","towards deeds active distributed time real","deeds towards a distributed and active real-time database system","dblp_a_2315","sigmod record","1996"
"zohreh nazeri , paul ostwald , eric bloedorn","data","safety experiences mining aviation","experiences in mining aviation safety data","dblp_a_2316","sigmod conference","2001"
"jennifer widom , chris olston , jing jiang","data","streams filters queries adaptive distributed continuous","adaptive filters for continuous queries over distributed data streams","dblp_a_2317","sigmod conference","2003"
"sushil jajodia , xiaoyang sean wang , elisa bertino , claudio bettini","databases","temporal evaluation assumptions query semantic","semantic assumptions and query evaluation in temporal databases","dblp_a_2318","sigmod conference","1995"
"chengyu sun , divyakant agrawal , amr el abbadi","","hardware joins spatial acceleration selections","hardware acceleration for spatial selections and joins","dblp_a_2319","sigmod conference","2003"
"gerhard weikum , peter zabback , peter scheuermann","data systems","disk load parallel partitioning balancing","data partitioning and load balancing in parallel disk systems","dblp_a_2320","vldb j.","1998"
"gennady antoshenkov","based","dictionary order compression string preserving","dictionary-based order-preserving string compression","dblp_a_2321","vldb j.","1997"
"c. j. date","","r camps response religious domains relations wars article","a response to r. camps ' article `` domains , relations and religious wars ''","dblp_a_2322","sigmod record","1996"
"yannis kotidis , nick roussopoulos","based","aggregate rolap organization storage alternative views cubetrees","an alternative storage organization for rolap aggregate views based on cubetrees","dblp_a_2324","sigmod conference","1998"
"juliana freire , rajeev rastogi , michael benedikt , wenfei fan , chee yong chan","data","integration constraints capturing types","capturing both types and constraints in data integration","dblp_a_2326","sigmod conference","2003"
"reagan moore , bertram ludäscher , richard marciano","data based","digital instantiating self archives preservation knowledge validating","preservation of digital data with self-validating , self-instantiating knowledge-based archives","dblp_a_2327","sigmod record","2001"
"david s. reiner , arnon rosenthal","database","practical otherwise rigorous tools design transformations","tools and transformations - rigorous and otherwise - for practical database design","dblp_a_2328","acm trans . database syst .","1994"
"byung suk lee","","normalization oodb design","normalization in oodb design","dblp_a_2329","sigmod record","1995"
"gio wiederhold , abraham silberschatz , gerhard rossbach , raghu ramakrishnan , jaco zijlstra , hector garcia-molina","","explosion panel scientific journals extinction","scientific journals : extinction or explosion ? ( panel )","dblp_a_2330","vldb","1995"
"tova milo , sagit zohar","using data","translation schema simplify heterogeneous matching","using schema matching to simplify heterogeneous data translation","dblp_a_2331","vldb","1998"
"ronald c. unrau , kaladhar voruganti , m. tamer özsu","based","asynchronous avoidance caching consistency dbmss algorithm cache client","an asynchronous avoidance-based cache consistency algorithm for client caching dbmss","dblp_a_2332","vldb","1998"
"bishwaranjan bhattacharjee , sriram padmanabhan , matthew huras , leslie cranston , timothy malkemus","data","multi new scheme layout clustering dimensional","multi-dimensional clustering : a new data layout scheme in db2","dblp_a_2333","sigmod conference","2003"
"guido moerkotte","database","processing engines xsl incorporating","incorporating xsl processing into database engines","dblp_a_2334","vldb","2002"
"michael j. franklin , sirish chandrasekaran","data","streaming queries","streaming queries over streaming data","dblp_a_2335","vldb","2002"
"sridhar ramaswamy","","technology epicenter overview piphany e","e.piphany epicenter technology overview","dblp_a_2336","vldb","2000"
"v. s. subrahmanian , elisa bertino , pierangela samarati , sushil jajodia","","framework multiple control enforcing unified policies access","a unified framework for enforcing multiple access control policies","dblp_a_2337","sigmod conference","1997"
"david j. dewitt , ravishankar ramamurthy , qi su","","mirrors fractured case","a case for fractured mirrors","dblp_a_2338","vldb j.","2003"
"praveen seshadri","","services sqlserver notification building microsoft","building notification services with microsoft sqlserver","dblp_a_2339","sigmod conference","2003"
"s. muthukrishnan , h. v. jagadish , nick koudas","database","time mining series deviants","mining deviants in a time series database","dblp_a_2340","vldb","1999"
"damianos chatziantoniou , kenneth a. ross","databases","features querying multiple relational groups","querying multiple features of groups in relational databases","dblp_a_2341","vldb","1996"
"thanos papadimitriou , andrey balmin , yannis papakonstantinou","","environment olap hypothetical queries","hypothetical queries in an olap environment","dblp_a_2342","vldb","2000"
"george m. mohay , m. corney , a. anderson , olivier y. de vel","","email forensics content mining author identification","mining email content for author identification forensics","dblp_a_2343","sigmod record","2001"
"chen li , ramana yerneni , jeffrey d. ullman , hector garcia-molina","","computing capabilities mediators","computing capabilities of mediators","dblp_a_2344","sigmod conference","1999"
"hector garcia-molina , jennifer widom , brad adelberg","system data","strip maintaining rule derived efficiently","the strip rule system for efficiently maintaining derived data","dblp_a_2345","sigmod conference","1997"
"yufei tao , dimitris papadias","","structures adaptive index","adaptive index structures","dblp_a_2346","vldb","2002"
"masahiko tsukamoto , shojiro nishio , tsutomu terada , rie sawai , yin-huei loh","information","functional filtering properties","functional properties of information filtering","dblp_a_2347","vldb","2001"
"hector garcia-molina , anthony tomasic , kurt a. shoens","","updates lists retrieval incremental document inverted text","incremental updates of inverted lists for text document retrieval","dblp_a_2348","sigmod conference","1994"
"lory d. molesky , krithi ramamritham","systems database","memory recovery shared protocols","recovery protocols for shared memory database systems","dblp_a_2349","sigmod conference","1995"
"karl aberer , klemens böhm","using database","structured technology administering hyperstorm object oriented documents","hyperstorm - administering structured documents using object-oriented database technology","dblp_a_2350","sigmod conference","1996"
"yannis e. ioannidis , minos n. garofalakis","","scheduling multi queries parallel resource dimensional","multi-dimensional resource scheduling for parallel queries","dblp_a_2351","sigmod conference","1996"
"umeshwar dayal","data","experiences industrial warehousing technologies panel challenges directions","industrial panel on data warehousing technologies : experiences , challenges , and directions","dblp_a_2352","vldb","1999"
"dennis shasha , theodore johnson","management","buffer high low overhead performance replacement algorithm","2q : a low overhead high performance buffer management replacement algorithm","dblp_a_2353","vldb","1994"
"daniel a. keim , markus wawryniuk , alexander hinneburg","data","high visual hd eye clustering dimensional","hd-eye : visual clustering of high dimensional data","dblp_a_2354","sigmod conference","2002"
"sunita sarawagi , gayatri sathe","data","intelligent rollups multidimensional olap","intelligent rollups in multidimensional olap data","dblp_a_2355","vldb","2001"
"rosa meo","","dependence theory values","theory of dependence values","dblp_a_2356","acm trans . database syst .","2000"
"v. s. subrahmanian , sibel adali , maria luisa sapino , piero a. bonatti","","similarity multi algebra","a multi-similarity algebra","dblp_a_2357","sigmod conference","1998"
"matthias jarke , jörg köller , thomas list","data","warehousing process challenge","the challenge of process data warehousing","dblp_a_2358","vldb","2000"
"opher etzion","information systems","generation technologies ngits next report international workshop","report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems","dblp_a_2359","sigmod record","1999"
"xiaolei qian","","called take actions upon scientist","scientist 's called upon to take actions","dblp_a_2360","sigmod record","1996"
"alberto o. mendelzon , alejandro a. vaisman","","temporal olap queries","temporal queries in olap","dblp_a_2361","vldb","2000"
"jef wijsen","","complex temporal objects fds","temporal fds on complex objects","dblp_a_2362","acm trans . database syst .","1999"
"jeff richey","","persistent handling modules sql condition stored","condition handling in sql persistent stored modules","dblp_a_2363","sigmod record","1995"
"krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan","using","multi selection query view materialized maintenance optimization","materialized view selection and maintenance using multi-query optimization","dblp_a_2364","sigmod conference","2001"
"hector garcia-molina , narayanan shivakumar","databases","wave indexing evolving indices","wave-indices : indexing evolving databases","dblp_a_2365","sigmod conference","1997"
"sihem amer-yahia , mary f. fernandez , yu xu , divesh srivastava","","xml phrase matching","phrase matching in xml","dblp_a_2366","vldb","2003"
"apostolos papadopoulos , yannis manolopoulos","using","similarity processing arrays query disk","similarity query processing using disk arrays","dblp_a_2367","sigmod conference","1998"
"marianne winslett","","jim gray interview","interview with jim gray","dblp_a_2368","sigmod record","2003"
"viswanath poosala , sridhar ramaswamy , swarup acharya","databases","selectivity spatial estimation","selectivity estimation in spatial databases","dblp_a_2369","sigmod conference","1999"
"philippe pucheral , luc bouganim","data","servers secured chip confidential untrusted access","chip-secured data access : confidential data on untrusted servers","dblp_a_2370","vldb","2002"
"richard t. snodgrass","","editorial","editorial","dblp_a_2371","acm trans . database syst .","2001"
"sven helmer , guido moerkotte , till westmann","","n diag opportunistic join relationships algorithm","diag-join : an opportunistic join algorithm for 1 : n relationships","dblp_a_2372","vldb","1998"
"debra e. vandermeer , krithi ramamritham , anindya datta , kaushik dutta , helen m. thomas","","enabling scalable online web personalization demonstration","demonstration : enabling scalable online personalization on the web","dblp_a_2373","vldb","2000"
"manish arya , mary tork roth , laura m. haas , joachim thomas ii , michael j. carey , edward l. wimmers , peter m. schwarz , william f. cody , ronald fagin","","project garlic","the garlic project","dblp_a_2374","sigmod conference","1996"
"césar a. galindo-legaria , eirik dahle , tor didriksen","database","de practical centralization approach","database de-centralization - a practical approach","dblp_a_2375","vldb","1995"
"manoj chavda , peter t. wood","","query visual towards object language compliant odmg","towards an odmg-compliant visual object query language","dblp_a_2376","vldb","1997"
"eric n. hanson , lloyd noronha","database","timer semantics challenge alerters triggers driven","timer-driven database triggers and alerters : semantics and a challenge","dblp_a_2377","sigmod record","1999"
"nikolaos sidiropoulos , christos faloutsos , h. v. jagadish","information data","summary recovering","recovering information from summary data","dblp_a_2378","vldb","1997"
"shinichi morishita , yasuhiko morimoto , hiromu ishii","","range efficient trees region regression construction splitting","efficient construction of regression trees with range and region splitting","dblp_a_2379","vldb","1997"
"marianne winslett","","pat selinger interview","interview with pat selinger","dblp_a_2380","sigmod record","2003"
"hasan m. jamil","databases","deductive reasoning mls belief","belief reasoning in mls deductive databases","dblp_a_2381","sigmod conference","1999"
"byron dom , rakesh agrawal , prabhakar raghavan , soumen chakrabarti","using databases","navigating text taxonomy discriminants signatures","using taxonomy , discriminants , and signatures for navigating in text databases","dblp_a_2382","vldb","1997"
"anthony tomasic , peter fankhauser , j. muñoz , m. lopez , georges gardarin","databases","experiences web miro db iro federated","experiences in federated databases : from iro-db to miro-web","dblp_a_2383","vldb","1998"
"divesh srivastava , nick koudas","data","processing stream query tutorial","data stream query processing : a tutorial","dblp_a_2384","vldb","2003"
"mike p. papazoglou , bernd j. krämer","database","dynamics model erratum object","erratum : a database model for object dynamics","dblp_a_2385","vldb j.","1997"
"cass squire","data","transformation extraction warehouse","data extraction and transformation for the data warehouse","dblp_a_2386","sigmod conference","1995"
"tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri","database","secure extensibility portable","secure and portable database extensibility","dblp_a_2387","sigmod conference","1998"
"yannis e. ioannidis , viswanath poosala","","size query optimality estimation result balancing histogram practicality","balancing histogram optimality and practicality for query result size estimation","dblp_a_2388","sigmod conference","1995"
"yuan wang , feng tian , david j. dewitt , jianjun chen","system databases","niagaracq query scalable internet continuous","niagaracq : a scalable continuous query system for internet databases","dblp_a_2389","sigmod conference","2000"
"w. bruce croft , james p. callan , eric w. brown","information","indexing fast full retrieval incremental text","fast incremental indexing for full-text information retrieval","dblp_a_2390","vldb","1994"
"kenneth a. ross , beng chin ooi , frank neven","","influential papers reminiscences","reminiscences on influential papers","dblp_a_2391","sigmod record","2003"
"b. sreenath , s. seshadri","databases","efficient structure hcc index object oriented tree","the hcc-tree : an efficient index structure for object oriented databases","dblp_a_2392","vldb","1994"
"lynn l. peterson , jorge c. g. ramirez , lon a. smith","information systems","characterization challenges medical","medical information systems : characterization and challenges","dblp_a_2393","sigmod record","1994"
"panos vassiliadis , spyros ligoudistianos , diego calvanese , christoph quix , maurizio lenzerini , matthias jarke , enrico franconi , yannis vassiliou","data based","demonstrators design concept warehouses dwq","concept based design of data warehouses : the dwq demonstrators","dblp_a_2394","sigmod conference","2000"
"alberto o. mendelzon , paolo atzeni","databases","international webdb workshop web","webdb ' 98 : international workshop on the web and databases","dblp_a_2395","sigmod record","1998"
"object database management group","","written response kim dr march commentary inc odmg unisql","response to the march 1994 odmg-93 commentary written by dr. won kim of unisql , inc","dblp_a_2396","sigmod record","1994"
"viswanath poosala , yannis e. ioannidis","","value estimation selectivity assumption without attribute independence","selectivity estimation without the attribute value independence assumption","dblp_a_2397","vldb","1997"
"yannis e. ioannidis","","abridged histograms history","the history of histograms ( abridged )","dblp_a_2398","vldb","2003"
"kathleen hornsby , heidi gregersen , lex wedemeijer , tomi männistö , john f. roddick , florida estrella , federica mandreoli , marlon dumas , lina al-jadir , enric mayol , leopoldo e. bertossi , jens lufter","management data","issues change directions evolution","evolution and change in data management - issues and directions","dblp_a_2399","sigmod record","2000"
"c. mohan","using","updates deletions record efficient method performing index scans","an efficient method for performing record deletions and updates using index scans","dblp_a_2400","vldb","2002"
"chih-he li , irene s. y. kwan , shi-ming huang","management data","study transaction efficient retrieval semantic","a study on the management of semantic transaction for efficient data retrieval","dblp_a_2401","sigmod record","2002"
"beng chin ooi , yanfeng shu , kian-lee tan","management data based systems","relational peer sharing","relational data sharing in peer-based data management systems","dblp_a_2402","sigmod record","2003"
"dan vodislav , sophie cluet , pierangelo veltri","","large repository scale views xml","views in a large scale xml repository","dblp_a_2403","vldb","2001"
"mike p. papazoglou , bernd j. krämer","database","dynamics model object","a database model for object dynamics","dblp_a_2404","vldb j.","1997"
"geetika agrawal , paul lucas , arvind sundararajan , fabio riccardi , michael j. carey , daniela florescu , donald kossmann , till westmann , chris hillery","","xquery xqrl bea processor streaming","the bea/xqrl streaming xquery processor","dblp_a_2405","vldb","2003"
"yannis papakonstantinou , vasilis vassalos","using","sources describing capabilities query heterogeneous","describing and using query capabilities of heterogeneous sources","dblp_a_2406","vldb","1997"
"gerald held , hector garcia-molina , michael lesk , jim gray , philip a. bernstein , david maier , h. v. jagadish , michael stonebraker , stefano ceri , joseph m. hellerstein , david j. dewitt , jeffrey d. ullman , michael l. brodie , jeffrey f. naughton , michael j. franklin , hamid pirahesh","database","asilomar report research","the asilomar report on database research","dblp_a_2407","sigmod record","1998"
"kyuseok shim , rajeev rastogi","","pruning decision public classifier building tree integrates","public : a decision tree classifier that integrates building and pruning","dblp_a_2408","vldb","1998"
"gustavo alonso , etzard stolte","databases","large exploration scientific efficient","efficient exploration of large scientific databases","dblp_a_2409","vldb","2002"
"julie basu , arthur m. keller","based database","caching predicate architectures scheme server client","a predicate-based caching scheme for client-server database architectures","dblp_a_2410","vldb j.","1996"
"mohand-said hacid , elisa bertino , ahmed k. elmagarmid","databases database","specification approach service quality video","a database approach to quality of service specification in video databases","dblp_a_2411","sigmod record","2003"
"yván j. garcía , scott t. leutenegger , mario a. lopez","","r trees optimal splitting node","on optimal node splitting for r-trees","dblp_a_2412","vldb","1998"
"philip a. bernstein , umeshwar dayal","","repository overview technology","an overview of repository technology","dblp_a_2413","vldb","1994"
"gautam bhargava , balakrishna r. iyer , piyush goel","based","queries reorderings outer join hypergraph predicates complex","hypergraph based reorderings of outer join queries with complex predicates","dblp_a_2414","sigmod conference","1995"
"v. s. subrahmanian","","bases knowledge amalgamating","amalgamating knowledge bases","dblp_a_2415","acm trans . database syst .","1994"
"hector garcia-molina , narayanan shivakumar , chandra chekuri","","predicates filtering approximate","filtering with approximate predicates","dblp_a_2416","vldb","1998"
"j. madar , raymond t. ng , h. v. jagadish","","fascicles compression pattern extraction semantic","semantic compression and pattern extraction with fascicles","dblp_a_2417","vldb","1999"
"patrick valduriez , philippe pucheral , christophe bobineau , luc bouganim","database","smartcard picodbms scaling techniques","picodbms : scaling down database techniques for the smartcard","dblp_a_2418","vldb j.","2001"
"r. g. g. cattell , bruce e. martin","","distributed objects relating","relating distributed objects","dblp_a_2419","vldb","1994"
"m. tamer özsu , kaladhar voruganti , ronald c. unrau","","odbmss architecture caching adaptive hybrid server client","an adaptive hybrid server architecture for client caching odbmss","dblp_a_2420","vldb","1999"
"john a. stankovic , krithi ramamritham , ming xiong , rajendran m. sivasankaran , donald f. towsley","databases","time integrating temporal real active","integrating temporal , real-time , and active databases","dblp_a_2421","sigmod record","1996"
"tolga yurek , divyakant agrawal , amr el abbadi , ambuj k. singh","data","view maintenance warehouses efficient","efficient view maintenance at data warehouses","dblp_a_2422","sigmod conference","1997"
"laks v. s. lakshmanan , raymond t. ng , carson kai-sang leung","","frequent sets efficient mining constrained dynamic","efficient dynamic mining of constrained frequent sets","dblp_a_2423","acm trans . database syst .","2003"
